Attack_Day,Baseline_CR,CR_Omega_30,CR_Omega_40,CR_Omega_50
495,-0.3778986729705246,-0.06455639857365081,-0.054707546623836145,0.0017285270419097332
496,-0.3778986729705246,-0.03090879536667568,-0.020115393591268016,0.037674651719629026
497,-0.3778986729705246,0.0029275683526260865,0.014646628957114882,0.07376356648026017
498,-0.3778986729705246,-0.007860136602228507,0.004766069654759786,0.06518336154590831
499,-0.3778986729705246,-0.04121794820968139,-0.029480744692142458,0.02966219991836283
500,-0.3778986729705246,-0.031313153586072895,-0.020482732862772357,0.03736037752147692
501,-0.3778986729705246,-0.04141604410215338,-0.02966070492872963,0.029508236366300733
502,-0.3778986729705246,-0.051316876807912415,-0.03865511755336781,0.02181313803422802
503,-0.3778986729705246,-0.06101969285955633,-0.047469641925513395,0.01427194166879664
504,-0.3778986729705246,-0.09284074834391587,-0.08016122294280015,-0.019667465921757388
505,-0.3778986729705246,-0.06120988115484416,-0.04764242060195145,0.01412415225239283
506,-0.3778986729705246,-0.08360305105502297,-0.070843222585247,-0.008725152604090236
507,-0.3778986729705246,-0.11503296301575415,-0.1188761609925909,-0.01736716431769969
508,-0.3778986729705246,-0.10660446809150324,-0.11079036026982324,-0.01070001351958949
509,-0.3778986729705246,-0.11948320215337037,-0.121622173251143,-0.01707863985016944
510,-0.3778986729705246,-0.12720696345620086,-0.12928449163063593,-0.023726312538059124
511,-0.3778986729705246,-0.11963767737942699,-0.12177541961873285,-0.017211593303927297
512,-0.3778986729705246,-0.13390758591165886,-0.1347101313522594,-0.028909649244683977
513,-0.3778986729705246,-0.12647231228399414,-0.12730957213478877,-0.022498596744684685
